MEAS_DT,BURST_ID,VIB-TOP,VIB-BOT,CUR-MTR
2024-01-13 17:33:53.493,B24-00008,-0.01183,-0.108865,-106.88723
2024-01-13 17:33:53.593,B24-00008,0.001306,-0.235919,-181.90529
2024-01-13 17:33:53.693,B24-00008,-0.162646,-0.164337,-237.99017
2024-01-13 17:33:53.793,B24-00008,-0.009684,0.092463,-252.39661
2024-01-13 17:33:53.893,B24-00008,0.182289,0.283731,-225.31119
2024-01-13 17:33:53.993,B24-00008,0.02424,0.045926,-173.45359
2024-01-13 17:33:54.093,B24-00008,-0.001771,-0.18584,-96.145045
2024-01-13 17:33:54.193,B24-00008,-0.104086,-0.152234,-11.591197
2024-01-13 17:33:54.293,B24-00008,-0.216983,-0.069128,78.177819
2024-01-13 17:33:54.393,B24-00008,-0.025578,0.177885,159.20414
2024-01-13 17:33:54.493,B24-00008,0.126544,0.22969,223.72952
2024-01-13 17:33:54.593,B24-00008,0.129587,-0.117334,256.31002
2024-01-13 17:33:54.693,B24-00008,0.021799,-0.24784,240.13749
2024-01-13 17:33:54.793,B24-00008,-0.070696,-0.111465,196.04208
2024-01-13 17:33:54.893,B24-00008,-0.098046,0.052068,124.80582
2024-01-13 17:33:54.993,B24-00008,-0.089304,0.242314,40.569906
2024-01-13 17:33:55.093,B24-00008,-0.005506,0.135185,-48.274523
2024-01-13 17:33:55.193,B24-00008,0.025863,-0.194832,-134.94219
2024-01-13 17:33:55.293,B24-00008,-0.030199,-0.241153,-205.18103
2024-01-13 17:33:55.393,B24-00008,-0.013237,-0.06629,-250.76154
2024-01-13 17:33:55.493,B24-00008,0.056824,0.12751,-248.16409
2024-01-13 17:33:55.593,B24-00008,0.0203,0.232653,-212.45697
2024-01-13 17:33:55.693,B24-00008,0.005575,0.02633,-150.06341
2024-01-13 17:33:55.793,B24-00008,-0.058514,-0.25816,-67.525395
2024-01-13 17:33:55.893,B24-00008,-0.192608,-0.242152,19.030812
2024-01-13 17:33:55.993,B24-00008,-0.060842,0.042145,108.3243
2024-01-13 17:33:56.093,B24-00008,0.135377,0.26048,184.23607
2024-01-13 17:33:56.193,B24-00008,0.093381,0.124093,241.78532
2024-01-13 17:33:56.293,B24-00008,0.025182,-0.126565,256.20547
2024-01-14 06:21:34.406,B24-00009,0.29372695,-0.54055375,21.457675
2024-01-14 06:21:34.506,B24-00009,1.0703204,-0.55738194,-44.107442
2024-01-14 06:21:34.606,B24-00009,0.90869242,0.063108272,25.033954
2024-01-14 06:21:34.706,B24-00009,0.23592147,0.50932143,-101.32791
2024-01-14 19:09:12.819,B24-00010,-0.027683,0.158762,161.4808
2024-01-14 19:09:12.919,B24-00010,-0.073812,-0.074025,191.53538
2024-01-14 19:09:13.019,B24-00010,0.044342,-0.090964,176.42882
2024-01-14 19:09:13.119,B24-00010,0.016708,-0.08061,147.22587
2024-01-14 19:09:13.219,B24-00010,-0.003807,-0.029509,96.444976
2024-01-14 19:09:13.319,B24-00010,0.040652,0.180572,39.09338
2024-01-14 19:09:13.419,B24-00010,-0.06356,0.062714,-24.922851
2024-01-14 19:09:13.519,B24-00010,-0.016546,-0.103896,-86.064826
2024-01-14 19:09:13.619,B24-00010,-0.000583,-0.085447,-138.15333
2024-01-14 19:09:13.719,B24-00010,-0.11256,-0.090181,-182.27472
2024-01-14 19:09:13.819,B24-00010,0.040516,0.097875,-179.89602
2024-01-14 19:09:13.919,B24-00010,0.029083,0.169718,-156.23905
2024-01-14 19:09:14.019,B24-00010,-0.099731,-0.048072,-114.94006
2024-01-14 19:09:14.119,B24-00010,0.076676,-0.077499,-59.036024
2024-01-14 19:09:14.219,B24-00010,-0.035846,-0.100104,0.177503
2024-01-14 19:09:14.319,B24-00010,-0.13739,-0.076432,64.599522
2024-01-14 19:09:14.419,B24-00010,0.085384,0.162373,115.78716
2024-01-14 19:09:14.519,B24-00010,-0.033076,0.06579,167.43912
2024-01-14 19:09:14.619,B24-00010,-0.027956,-0.102068,183.00726
2024-01-14 19:09:14.719,B24-00010,0.128401,-0.022674,163.77093
2024-01-14 19:09:14.819,B24-00010,-0.096121,-0.093087,132.11431
2024-01-14 19:09:14.919,B24-00010,-0.092215,0.021058,79.860697
2024-01-14 19:09:15.019,B24-00010,0.041061,0.199657,25.428417
